[2025-04-22T10:20:38.453+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.457+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.458+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2025-04-22T10:21:42.987+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000210Z.json.gz
[2025-04-22T10:21:45.004+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000215Z.json.gz
[2025-04-22T10:21:47.754+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000220Z.json.gz
[2025-04-22T10:21:48.984+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000225Z.json.gz
[2025-04-22T10:21:51.186+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000230Z.json.gz
[2025-04-22T10:21:52.419+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000235Z.json.gz
[2025-04-22T10:21:54.753+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000240Z.json.gz
[2025-04-22T10:21:55.882+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000245Z.json.gz
[2025-04-22T10:21:57.666+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000250Z.json.gz
[2025-04-22T10:21:59.844+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000255Z.json.gz
[2025-04-22T10:22:02.936+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000300Z.json.gz
[2025-04-22T10:22:04.424+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000305Z.json.gz
[2025-04-22T10:22:06.238+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000310Z.json.gz
[2025-04-22T10:22:08.269+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000315Z.json.gz
[2025-04-22T10:22:10.098+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000320Z.json.gz
[2025-04-22T10:22:12.183+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000325Z.json.gz
[2025-04-22T10:22:14.316+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000330Z.json.gz
[2025-04-22T10:22:18.323+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000335Z.json.gz
[2025-04-22T10:22:19.626+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000340Z.json.gz
[2025-04-22T10:22:21.922+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000345Z.json.gz
[2025-04-22T10:22:25.292+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000350Z.json.gz
[2025-04-22T10:22:26.510+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000355Z.json.gz
[2025-04-22T10:22:28.313+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000400Z.json.gz
[2025-04-22T10:22:30.333+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000405Z.json.gz
[2025-04-22T10:22:33.466+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000410Z.json.gz
[2025-04-22T10:22:35.491+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000415Z.json.gz
[2025-04-22T10:22:37.351+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000420Z.json.gz
[2025-04-22T10:22:41.004+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000425Z.json.gz
[2025-04-22T10:22:43.143+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000430Z.json.gz
[2025-04-22T10:22:44.470+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000435Z.json.gz
[2025-04-22T10:22:45.665+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000440Z.json.gz
[2025-04-22T10:22:48.683+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000445Z.json.gz
[2025-04-22T10:22:50.817+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000450Z.json.gz
[2025-04-22T10:22:52.080+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000455Z.json.gz
[2025-04-22T10:22:53.317+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000500Z.json.gz
[2025-04-22T10:22:56.285+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000505Z.json.gz
[2025-04-22T10:22:58.193+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000510Z.json.gz
[2025-04-22T10:23:00.372+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000515Z.json.gz
[2025-04-22T10:23:02.059+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000520Z.json.gz
[2025-04-22T10:23:04.222+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000525Z.json.gz
[2025-04-22T10:23:06.285+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000530Z.json.gz
[2025-04-22T10:23:07.402+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000535Z.json.gz
[2025-04-22T10:23:09.317+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000540Z.json.gz
[2025-04-22T10:23:12.014+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000545Z.json.gz
[2025-04-22T10:23:13.292+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000550Z.json.gz
[2025-04-22T10:23:14.723+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000555Z.json.gz
[2025-04-22T10:23:15.911+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000600Z.json.gz
[2025-04-22T10:23:17.172+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000605Z.json.gz
[2025-04-22T10:23:19.965+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000610Z.json.gz
[2025-04-22T10:23:21.212+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000615Z.json.gz
[2025-04-22T10:23:22.458+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000620Z.json.gz
[2025-04-22T10:23:23.713+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000625Z.json.gz
[2025-04-22T10:23:24.968+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000630Z.json.gz
